location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Austria,2021-04-30,18,24,9.73,2.98
Austria,2021-04-30,25,49,16.35,5.23
Austria,2021-04-30,50,59,27.08,7.8
Austria,2021-04-30,60,69,48.96,9.34
Austria,2021-04-30,70,79,67.97,19.83
Austria,2021-04-30,80,,91.36,72.41
Austria,2021-05-07,18,24,11.7,3.56
Austria,2021-05-07,25,49,19.55,5.97
Austria,2021-05-07,50,59,34.18,8.81
Austria,2021-05-07,60,69,57.71,11.53
Austria,2021-05-07,70,79,71.52,26.4
Austria,2021-05-07,80,,92.85,74.52
Austria,2021-05-14,18,24,14.0,4.29
Austria,2021-05-14,25,49,23.04,6.91
Austria,2021-05-14,50,59,42.1,10.07
Austria,2021-05-14,60,69,64.14,13.77
Austria,2021-05-14,70,79,73.5,30.45
Austria,2021-05-14,80,,93.83,75.8
Austria,2021-05-21,18,24,16.81,5.38
Austria,2021-05-21,25,49,28.06,8.44
Austria,2021-05-21,50,59,49.22,12.34
Austria,2021-05-21,60,69,70.74,17.82
Austria,2021-05-21,70,79,75.48,36.32
Austria,2021-05-21,80,,94.93,79.87
Austria,2021-05-28,18,24,19.61,6.69
Austria,2021-05-28,25,49,32.3,10.71
Austria,2021-05-28,50,59,53.67,15.82
Austria,2021-05-28,60,69,73.91,23.3
Austria,2021-05-28,70,79,76.51,42.89
Austria,2021-05-28,80,,95.58,82.46
Austria,2021-06-04,18,24,23.96,8.27
Austria,2021-06-04,25,49,37.8,13.3
Austria,2021-06-04,50,59,58.78,20.01
Austria,2021-06-04,60,69,76.38,31.23
Austria,2021-06-04,70,79,77.46,49.8
Austria,2021-06-04,80,,96.21,83.95
Austria,2021-06-11,18,24,29.34,10.1
Austria,2021-06-11,25,49,42.97,16.56
Austria,2021-06-11,50,59,63.59,26.27
Austria,2021-06-11,60,69,77.87,42.21
Austria,2021-06-11,70,79,78.19,54.47
Austria,2021-06-11,80,,96.74,86.45
Austria,2021-06-18,18,24,34.08,12.42
Austria,2021-06-18,25,49,47.6,20.07
Austria,2021-06-18,50,59,66.48,33.05
Austria,2021-06-18,60,69,79.24,51.21
Austria,2021-06-18,70,79,78.93,58.96
Austria,2021-06-18,80,,97.3,88.64
Austria,2021-06-25,18,24,38.47,15.13
Austria,2021-06-25,25,49,51.57,24.44
Austria,2021-06-25,50,59,67.99,42.26
Austria,2021-06-25,60,69,80.17,58.22
Austria,2021-06-25,70,79,79.47,65.03
Austria,2021-06-25,80,,97.73,90.68
Austria,2021-07-02,18,24,43.21,19.81
Austria,2021-07-02,25,49,54.92,30.07
Austria,2021-07-02,50,59,69.46,49.49
Austria,2021-07-02,60,69,81.1,66.0
Austria,2021-07-02,70,79,80.05,71.64
Austria,2021-07-02,80,,98.17,92.21
Austria,2021-07-09,18,24,48.11,24.76
Austria,2021-07-09,25,49,57.24,35.88
Austria,2021-07-09,50,59,70.58,54.91
Austria,2021-07-09,60,69,81.9,70.68
Austria,2021-07-09,70,79,80.52,74.7
Austria,2021-07-09,80,,98.54,93.24
Austria,2021-07-16,18,24,50.53,29.59
Austria,2021-07-16,25,49,58.68,41.39
Austria,2021-07-16,50,59,71.56,59.68
Austria,2021-07-16,60,69,82.63,74.55
Austria,2021-07-16,70,79,80.98,76.25
Austria,2021-07-16,80,,98.9,94.08
Austria,2021-07-23,18,24,52.57,35.07
Austria,2021-07-23,25,49,60.0,46.22
Austria,2021-07-23,50,59,72.43,64.14
Austria,2021-07-23,60,69,83.29,76.82
Austria,2021-07-23,70,79,81.42,77.25
Austria,2021-07-23,80,,99.26,94.77
Austria,2021-07-30,18,24,53.76,40.28
Austria,2021-07-30,25,49,60.75,50.62
Austria,2021-07-30,50,59,72.95,66.74
Austria,2021-07-30,60,69,83.72,78.73
Austria,2021-07-30,70,79,81.7,78.1
Austria,2021-07-30,80,,99.52,95.38
Austria,2021-08-06,18,24,54.87,44.49
Austria,2021-08-06,25,49,61.5,54.49
Austria,2021-08-06,50,59,73.49,68.63
Austria,2021-08-06,60,69,84.15,80.16
Austria,2021-08-06,70,79,82.0,78.85
Austria,2021-08-06,80,,99.78,95.92
Austria,2021-08-13,18,24,55.59,47.82
Austria,2021-08-13,25,49,62.0,56.91
Austria,2021-08-13,50,59,73.87,69.86
Austria,2021-08-13,60,69,84.45,81.09
Austria,2021-08-13,70,79,82.21,79.44
Austria,2021-08-13,80,,99.97,96.38
Austria,2021-08-20,18,24,56.42,51.21
Austria,2021-08-20,25,49,62.62,58.54
Austria,2021-08-20,50,59,74.31,70.85
Austria,2021-08-20,60,69,84.8,81.84
Austria,2021-08-20,70,79,82.45,79.92
Austria,2021-08-20,80,,100.2,96.74
Austria,2021-08-27,18,24,57.32,52.58
Austria,2021-08-27,25,49,63.26,59.44
Austria,2021-08-27,50,59,74.76,71.43
Austria,2021-08-27,60,69,85.15,82.3
Austria,2021-08-27,70,79,82.69,80.23
Austria,2021-08-27,80,,100.43,96.99
Austria,2021-09-03,18,24,58.26,53.61
Austria,2021-09-03,25,49,63.92,60.16
Austria,2021-09-03,50,59,75.2,71.92
Austria,2021-09-03,60,69,85.48,82.69
Austria,2021-09-03,70,79,82.91,80.48
Austria,2021-09-03,80,,100.64,97.23
Austria,2021-09-10,18,24,59.32,54.53
Austria,2021-09-10,25,49,64.68,60.82
Austria,2021-09-10,50,59,75.68,72.35
Austria,2021-09-10,60,69,85.83,83.02
Austria,2021-09-10,70,79,83.15,80.71
Austria,2021-09-10,80,,100.88,97.46
Austria,2021-09-17,18,24,60.48,55.46
Austria,2021-09-17,25,49,65.52,61.49
Austria,2021-09-17,50,59,76.21,72.77
Austria,2021-09-17,60,69,86.21,83.35
Austria,2021-09-17,70,79,83.4,80.93
Austria,2021-09-17,80,,101.17,97.69
Austria,2021-09-24,18,24,61.58,56.4
Austria,2021-09-24,25,49,66.31,62.16
Austria,2021-09-24,50,59,76.71,73.21
Austria,2021-09-24,60,69,86.56,83.67
Austria,2021-09-24,70,79,83.65,81.16
Austria,2021-09-24,80,,101.45,97.92
Austria,2021-10-01,18,24,62.46,57.26
Austria,2021-10-01,25,49,66.91,62.74
Austria,2021-10-01,50,59,77.08,73.56
Austria,2021-10-01,60,69,86.82,83.93
Austria,2021-10-01,70,79,83.83,81.34
Austria,2021-10-01,80,,101.68,98.12
Austria,2021-10-08,18,24,63.18,58.11
Austria,2021-10-08,25,49,67.38,63.33
Austria,2021-10-08,50,59,77.36,73.93
Austria,2021-10-08,60,69,87.03,84.21
Austria,2021-10-08,70,79,83.99,81.56
Austria,2021-10-08,80,,101.92,98.4
Austria,2021-10-15,18,24,63.75,58.9
Austria,2021-10-15,25,49,67.77,63.87
Austria,2021-10-15,50,59,77.59,74.26
Austria,2021-10-15,60,69,87.21,84.48
Austria,2021-10-15,70,79,84.11,81.77
Austria,2021-10-15,80,,102.11,98.64
Austria,2021-10-22,18,24,64.1,59.33
Austria,2021-10-22,25,49,68.02,64.19
Austria,2021-10-22,50,59,77.74,74.45
Austria,2021-10-22,60,69,87.31,84.64
Austria,2021-10-22,70,79,84.19,81.9
Austria,2021-10-22,80,,102.23,98.8
